Species,Nb,Loci Count,Individual Count,P Value,Cycles,Decline,Power Value,Power Percent
bullT,100,100,100,0.05,10,0,935,0.935
bullT,100,100,100,0.15,10,0,807,0.807
bullT,100,100,100,0.1,10,0,879,0.879
bullT,100,100,100,0.05,5,0,936,0.936
bullT,100,100,100,0.15,5,0,827,0.827
bullT,100,100,100,0.1,5,0,887,0.887
bullT,100,100,100,0.05,7,0,939,0.939
bullT,100,100,100,0.15,7,0,833,0.833
bullT,100,100,100,0.1,7,0,884,0.884
bullT,100,100,25,0.05,10,0,966,0.966
bullT,100,100,25,0.15,10,0,828,0.828
bullT,100,100,25,0.1,10,0,915,0.915
bullT,100,100,25,0.05,5,0,968,0.968
bullT,100,100,25,0.15,5,0,877,0.877
bullT,100,100,25,0.1,5,0,923,0.923
bullT,100,100,25,0.05,7,0,970,0.97
bullT,100,100,25,0.15,7,0,833,0.833
bullT,100,100,25,0.1,7,0,904,0.904
bullT,100,100,50,0.05,10,0,951,0.951
bullT,100,100,50,0.15,10,0,849,0.849
bullT,100,100,50,0.1,10,0,900,0.9
bullT,100,100,50,0.05,5,0,957,0.957
bullT,100,100,50,0.15,5,0,847,0.847
bullT,100,100,50,0.1,5,0,894,0.894
bullT,100,100,50,0.05,7,0,949,0.949
bullT,100,100,50,0.15,7,0,846,0.846
bullT,100,100,50,0.1,7,0,902,0.902
bullT,100,100,100,0.05,10,10,996,0.996
bullT,100,100,100,0.15,10,10,1000,1.0
bullT,100,100,100,0.1,10,10,1000,1.0
bullT,100,100,100,0.05,5,10,229,0.229
bullT,100,100,100,0.15,5,10,498,0.498
bullT,100,100,100,0.1,5,10,400,0.4
bullT,100,100,100,0.05,7,10,683,0.683
bullT,100,100,100,0.15,7,10,887,0.887
bullT,100,100,100,0.1,7,10,819,0.819
bullT,100,100,25,0.05,10,10,245,0.245
bullT,100,100,25,0.15,10,10,487,0.487
bullT,100,100,25,0.1,10,10,393,0.393
bullT,100,100,25,0.05,5,10,49,0.049
bullT,100,100,25,0.15,5,10,134,0.134
bullT,100,100,25,0.1,5,10,91,0.091
bullT,100,100,25,0.05,7,10,83,0.083
bullT,100,100,25,0.15,7,10,228,0.228
bullT,100,100,25,0.1,7,10,148,0.148
bullT,100,100,50,0.05,10,10,803,0.803
bullT,100,100,50,0.15,10,10,958,0.958
bullT,100,100,50,0.1,10,10,917,0.917
bullT,100,100,50,0.05,5,10,105,0.105
bullT,100,100,50,0.15,5,10,282,0.282
bullT,100,100,50,0.1,5,10,203,0.203
bullT,100,100,50,0.05,7,10,302,0.302
bullT,100,100,50,0.15,7,10,575,0.575
bullT,100,100,50,0.1,7,10,459,0.459
bullT,100,100,100,0.05,10,15,1000,1.0
bullT,100,100,100,0.15,10,15,1000,1.0
bullT,100,100,100,0.1,10,15,1000,1.0
bullT,100,100,100,0.05,5,15,483,0.483
bullT,100,100,100,0.15,5,15,786,0.786
bullT,100,100,100,0.1,5,15,680,0.68
bullT,100,100,100,0.05,7,15,959,0.959
bullT,100,100,100,0.15,7,15,998,0.998
bullT,100,100,100,0.1,7,15,988,0.988
bullT,100,100,25,0.05,10,15,601,0.601
bullT,100,100,25,0.15,10,15,815,0.815
bullT,100,100,25,0.1,10,15,758,0.758
